nick,created,isProUser,type,consumedTrial,isVerified,pinUrl,pinAnchor,pinIsdefault,fullBodyPin,color,url,id,countryCode,brLevel,brDivision,streakProgress,explorerProgress,dailyChallengeProgress,progressXp,progressLevel,progressLevelxp,progressNextlevel,progressNextlevelxp,progressTitleId,progressTitleTierid,progressCompetitionmedalsBronze,progressCompetitionmedalsSilver,progressCompetitionmedalsGold,progressCompetitionmedalsPlatinum,competitiveElo_deprecated,competitiveRating_deprecated,competitiveLastratingchange_deprecated,competitiveDivisionType_deprecated,competitiveDivisionStartrating_deprecated,competitiveDivisionEndrating_deprecated,competitiveOnleaderboard_deprecated,lastNameChange,lastNickOrCountryChange,isBanned,chatBan,nameChangeAvailableAt,avatarFullbodypath,isBotUser,suspendedUntil,wallet,flair,isCreator,isAppAnonymous,rankedTeamDuelsStandardNumgamesplayed,rankedTeamDuelsStandardNumwins,rankedTeamDuelsStandardWinratio,rankedTeamDuelsNoMoveNumgamesplayed,rankedTeamDuelsNoMoveNumwins,rankedTeamDuelsNoMoveWinratio,rankedTeamDuelsNmpzNumgamesplayed,rankedTeamDuelsNmpzNumwins,rankedTeamDuelsNmpzWinratio,rankedTeamDuelsTotalNumgamesplayed,rankedTeamDuelsTotalNumwins,rankedTeamDuelsTotalWinratio,battleRoyaleDistanceNumgamesplayed,battleRoyaleDistanceAvgposition,battleRoyaleDistanceNumwins,battleRoyaleDistanceWinratio,battleRoyaleDistanceAvgguessdistance,battleRoyaleDistanceNumguesses,battleRoyaleCountryNumgamesplayed,battleRoyaleCountryAvgposition,battleRoyaleCountryNumwins,battleRoyaleCountryWinratio,battleRoyaleCountryNumguesses,battleRoyaleCountryAvgcorrectguesses,battleRoyaleMedalsMedalcountgold,battleRoyaleMedalsMedalcountsilver,battleRoyaleMedalsMedalcountbronze,competitiveCityStreaksNumgamesplayed,competitiveCityStreaksAvgposition,competitiveCityStreaksNumwins,competitiveCityStreaksWinratio,competitiveCityStreaksNumguesses,competitiveCityStreaksAvgcorrectguesses,competitiveStreaksMedalsMedalcountgold,competitiveStreaksMedalsMedalcountsilver,competitiveStreaksMedalsMedalcountbronze,duelsNumgamesplayed,duelsAvgposition,duelsNumwins,duelsWinratio,duelsAvgguessdistance,duelsNumguesses,duelsNumflawlesswins,duelsNoMoveNumgamesplayed,duelsNoMoveAvgposition,duelsNoMoveNumwins,duelsNoMoveWinratio,duelsNoMoveAvgguessdistance,duelsNoMoveNumguesses,duelsNoMoveNumflawlesswins,duelsNmpzNumgamesplayed,duelsNmpzAvgposition,duelsNmpzNumwins,duelsNmpzWinratio,duelsNmpzAvgguessdistance,duelsNmpzNumguesses,duelsNmpzNumflawlesswins,duelsTotalNumgamesplayed,duelsTotalAvgposition,duelsTotalNumwins,duelsTotalWinratio,duelsTotalAvgguessdistance,duelsTotalNumguesses,duelsTotalNumflawlesswins,duelsMedalsMedalcountgold,duelsMedalsMedalcountsilver,duelsMedalsMedalcountbronze,lifeTimeXpProgressionXp,lifeTimeXpProgressionCurrentlevelLevel,lifeTimeXpProgressionCurrentlevelXpstart,lifeTimeXpProgressionNextlevelLevel,lifeTimeXpProgressionNextlevelXpstart,lifeTimeXpProgressionCurrenttitleId,lifeTimeXpProgressionCurrenttitleTierid,lifeTimeXpProgressionCurrenttitleMinimumlevel,lifeTimeXpProgressionCurrenttitleName,totalMedalsMedalcountgold,totalMedalsMedalcountsilver,totalMedalsMedalcountbronze,teamDuelsNumgamesplayed,teamDuelsNumwins,teamDuelsWinratio,perfectRounds,divisionNumber,divisionName,rating,tier,gameModeRatingsNomoveduels,gameModeRatingsNmpzduels,divisionNumberBest,divisionPositionBest,divisionNameBest,divisionTierBest,gameModeRatingsStandardduels,positionDuelsLeaderboard,current_time
Radu C,2016-09-09,True,Pro,True,True,pin/55eacd62683a0ade2ab54f4f269b57fd.png,center-center,False,pin/95f6f99fba3e5ea937628fddd05c9576.png,0,/user/57d301d409f2efcce834fc94,57d301d409f2efcce834fc94,United States of America,132,50,,,0,899478,132,886280,133,904620,340,140,0,3,6,0,1602,2103,13,50,1100,1500,True,2024-01-05T16:24:45.4920000Z,2024-01-05T16:24:45.4920000Z,False,False,,pin/95f6f99fba3e5ea937628fddd05c9576.png,False,,,6,True,False,8,3,0.375,30,22,0.73333335,32,18,0.5625,70,43,0.6142857,44,2.159091,24,54.55,683.53,117,120,2.625,81,67.5,40,95.0,5,3,0,0,0.0,0,0.0,0,0.0,0,0,0,1058,1.1257089,925,87.43,183.4,9135,94,727,1.2228335,565,77.72,286.52,6500,76,173,1.2196531,135,78.03,428.28,1372,16,1958,1.1893986,1625,82.99,299.4,17007,186,1,0,0,899478,132,886280,133,904620,340,140,130,Supreme Explorer,6,3,0,17,16,0.9411765,1197,1,Champion,2149,Champion,2067,2077,1,1,Champion,Champion,,1,10-22-2024 18:53:28
Geooo,2021-01-10,True,Elite,True,False,pin/3778b0770f9b337facbf54e79fdd6b96.png,center-center,False,pin/fad4954fad94dc84826b934c7654fdb2.png,0,/user/5ffb5e4975d2770001545cf5,5ffb5e4975d2770001545cf5,United Kingdom,200,50,,,0,3965796,200,2782050,200,2782050,410,200,7,14,62,0,1549,2050,8,50,1100,1500,True,2024-07-13T10:59:45.8780000Z,2024-07-13T10:59:45.8780000Z,False,False,,pin/fad4954fad94dc84826b934c7654fdb2.png,False,,,1,False,False,9,7,0.7777778,64,41,0.640625,34,25,0.7352941,107,73,0.682243,1685,4.2557864,357,21.19,714.93,10948,3778,3.8920064,1019,26.97,22628,71.13,49,12,7,53,1.8679246,28,0.5283019,810,0.745679,7,2,0,3147,1.2189387,2458,78.11,381.77,25853,99,2695,1.309833,1860,69.02,317.54,26181,117,2857,1.2663633,2096,73.36,488.82,23858,209,8699,1.265045,6414,73.73,396.05,75892,425,6,0,0,3965796,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,62,14,7,42,40,0.95238096,2347,1,Champion,2120,Champion,2045,2085,1,1,Champion,Champion,1813,2,10-22-2024 18:53:28
mk,2018-11-20,True,Unlimited,False,True,pin/ab0c4dc9bbcd80695267a0c525ec3eff.png,center-center,False,pin/a57f8073e5c7a57d0af11087b34e5f0a.png,0,/user/5bf491faaac55b998458ed9a,5bf491faaac55b998458ed9a,United States of America,200,50,,,0,5167457,200,2782050,200,2782050,410,200,0,0,0,0,1251,1752,-22,50,1100,1500,True,2024-06-13T16:18:53.2890000Z,2024-06-13T16:18:53.2890000Z,False,False,,pin/a57f8073e5c7a57d0af11087b34e5f0a.png,False,,,2,False,False,16,7,0.4375,289,211,0.7301038,197,132,0.67005074,502,350,0.69721115,0,0.0,0,0.0,0.0,0,21,2.6666667,11,52.38,128,72.66,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,1259,1.3010325,880,69.9,384.96,10948,87,491,1.3441955,322,65.58,361.41,4819,24,141,1.4609929,76,53.9,877.11,1166,5,1891,1.3687404,1278,67.58,541.16,16933,116,0,0,0,5167457,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,0,0,0,315,309,0.9809524,2552,1,Champion,2119,Champion,2018,1967,1,1,Champion,Champion,,3,10-22-2024 18:53:28
Blinky,2018-07-19,True,Unlimited,True,True,pin/700fe9f6857e5085cda458c41737bf51.png,center-center,False,pin/4f038a09f0fdf01ff5dad521b768e5b5.png,0,/user/5b51062a4010740f7cd91dd5,5b51062a4010740f7cd91dd5,France,200,50,,,0,3991130,200,2782050,200,2782050,410,200,2,2,18,0,1383,1884,15,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/4f038a09f0fdf01ff5dad521b768e5b5.png,False,,,6,True,False,63,56,0.8888889,60,43,0.71666664,53,39,0.7358491,176,138,0.78409094,204,3.1176472,91,44.61,279.45,486,518,2.7953668,242,46.72,1264,83.31,11,2,1,12,1.5833334,9,0.75,200,0.845,5,0,1,1252,1.0623003,1174,93.77,189.72,9854,25,168,1.2321428,129,76.79,279.72,1533,13,126,1.2460318,95,75.4,538.08,1030,14,1546,1.1801583,1398,90.43,335.84,12417,52,2,0,0,3991130,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,18,2,2,10,10,1.0,8522,1,Champion,2032,Champion,2004,,1,3,Champion,Champion,,4,10-22-2024 18:53:28
yak,2024-03-21,True,Unlimited,False,False,pin/9883ec3ba5f2af834c1b97e98db025e7.png,center-center,False,pin/98a07a38aed6fba3265d7aff079427ca.png,0,/user/65fc3453702bba73b4c0a398,65fc3453702bba73b4c0a398,Japan,80,50,,,0,237156,80,230200,81,238050,250,90,0,0,0,0,1199,1700,-18,50,1100,1500,True,2024-10-16T15:59:01.1580000Z,2024-10-16T15:59:01.1580000Z,False,False,2024-11-15T15:59:01.1580000Z,pin/98a07a38aed6fba3265d7aff079427ca.png,False,,,0,False,False,0,0,0.0,230,164,0.71304345,99,59,0.5959596,329,223,0.67781156,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,72,1.0694444,67,93.06,218.02,367,33,1399,1.4288777,799,57.11,401.63,13093,81,275,1.4545455,150,54.55,733.59,2292,17,1746,1.3176225,1016,58.19,451.08,15752,131,0,0,0,237156,80,230200,81,238050,250,90,80,Rookie Globetrotter,0,0,0,1,1,1.0,72,1,Champion,2031,Champion,1945,1903,1,4,Champion,Champion,,5,10-22-2024 18:53:28
Bad At Geo,2019-08-04,True,Pro,True,True,pin/9fd52b943073084a4dc6ca3c47d5048e.png,center-center,False,pin/5966282fdbb3febdcd984ad7d232cdca.png,0,/user/5d46b0bb3b4b6a4968620f7b,5d46b0bb3b4b6a4968620f7b,United Kingdom,200,50,,,0,4887796,200,2782050,200,2782050,410,200,6,9,35,0,1450,1951,-22,50,1100,1500,True,2024-02-28T09:35:58.4600000Z,2024-02-28T09:35:58.4600000Z,False,False,,pin/5966282fdbb3febdcd984ad7d232cdca.png,False,,,2,False,False,152,125,0.82236844,345,262,0.7594203,462,351,0.75974023,959,738,0.76955163,153,4.2287583,34,22.22,832.86,847,3222,3.5195532,1400,43.45,15099,74.28,19,7,3,43,1.6744186,26,0.60465115,636,0.6902516,5,2,3,3741,1.3231757,2532,67.68,514.6,20700,59,807,1.4163569,471,58.36,283.31,4330,70,1141,1.1752849,941,82.47,440.92,8497,190,5689,1.3049392,3944,69.33,412.94,33527,319,11,0,0,4887796,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,35,9,6,137,126,0.919708,2133,1,Champion,2028,Champion,,2012,1,2,Champion,Champion,,6,10-22-2024 18:53:28
PANZERFAUST,2023-11-05,True,Unlimited,False,False,pin/c82395afc2ba0c599628cb030ebf9a4a.png,center-center,False,pin/79160bc3b73c0c3d38f05a7966a2a379.png,0,/user/6547dabad446a83878a53a18,6547dabad446a83878a53a18,United Kingdom,200,50,,,0,2905827,200,2782050,200,2782050,410,200,0,0,0,0,593,1094,2,40,850,1100,True,2024-09-22T00:53:06.6980000Z,2024-09-22T00:53:06.6980000Z,False,False,2024-10-22T00:53:06.6980000Z,pin/79160bc3b73c0c3d38f05a7966a2a379.png,False,,,0,False,False,0,0,0.0,13,13,1.0,1,0,0.0,14,13,0.9285714,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,223,1.0448431,213,95.52,382.98,1080,106,88,1.0568181,83,94.32,244.6,604,24,2,1.5,1,50.0,936.88,16,0,313,1.2005538,297,94.89,521.49,1700,130,0,0,0,2905827,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,0,0,0,0,0,0.0,542,2,Master I,2012,Master,1973,,3,1,Master II,Master,1550,7,10-22-2024 18:53:28
leero,2022-10-03,True,Pro,True,True,pin/78d0410f1a93c188ae414f53412a16a8.png,center-center,False,pin/281291a0d041822dba7b7322edae6204.png,0,/user/633a62ba560e8238dea97807,633a62ba560e8238dea97807,Australia,200,50,,,0,3624141,200,2782050,200,2782050,410,200,0,0,0,0,1506,2007,13,50,1100,1500,True,2022-11-09T23:43:40.1680000Z,2022-11-09T23:43:40.1680000Z,False,False,,pin/281291a0d041822dba7b7322edae6204.png,False,,,2,False,False,6,5,0.8333333,60,49,0.81666666,41,33,0.80487806,107,87,0.8130841,3,6.0,0,0.0,774.63,7,5,3.4,1,20.0,16,87.5,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,296,1.2567568,220,74.32,336.31,2510,1,199,1.241206,151,75.88,251.45,1962,10,98,1.1326531,85,86.73,565.36,720,14,593,1.2102053,456,76.9,384.37,5192,25,0,0,0,3624141,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,0,0,0,0,0,0.0,64,1,Champion,1975,Champion,,,1,3,Champion,Champion,,8,10-22-2024 18:53:28
yeeboiiiiiiiiiiiiii,2017-08-11,True,Pro,True,False,pin/c4b3dac2a4ad957e08e056d60e9800c9.png,center-center,False,pin/ab174ced8236a14367b2fb9db647ff68.png,0,/user/598e0f3d43a1435770463715,598e0f3d43a1435770463715,Norway,150,50,,,0,1265935,150,1255700,151,1278760,360,160,0,1,0,0,1290,1791,-13,50,1100,1500,True,2024-02-13T20:35:31.4310000Z,2024-02-13T20:35:31.4310000Z,False,False,,pin/ab174ced8236a14367b2fb9db647ff68.png,False,,,0,False,False,12,8,0.6666667,68,45,0.6617647,39,29,0.74358976,119,82,0.68907565,58,4.5172415,16,27.59,1047.57,113,284,5.3415494,32,11.27,37,54.05,0,0,0,2,3.5,0,0.0,61,0.5081967,0,1,0,311,1.3215435,211,67.85,611.43,2422,0,323,1.3405572,213,65.94,367.19,2989,10,207,1.4396136,116,56.04,690.98,1798,6,841,1.367238,540,64.21,556.53,7209,16,0,0,0,1265935,150,1255700,151,1278760,360,160,150,Supreme Explorer Elite,0,1,0,19,16,0.84210527,206,1,Champion,1969,Champion,1913,1929,1,8,Champion,Champion,,9,10-22-2024 18:53:28
ved,2023-06-08,True,Unlimited,False,False,pin/742ecf7479125be33e50aadca4d13850.png,center-center,False,pin/6a39e4c487cf2b90e9d77fdcdc6a9391.png,0,/user/6481f8ff0e7bd0442dec3fcf,6481f8ff0e7bd0442dec3fcf,Antigua and Barbuda,40,50,,,0,38368,40,37650,41,40070,130,50,0,0,0,0,1427,1928,12,50,1100,1500,True,2024-03-09T19:59:52.3890000Z,2024-03-09T19:59:52.3890000Z,False,False,,pin/6a39e4c487cf2b90e9d77fdcdc6a9391.png,False,,,0,False,False,9,7,0.7777778,10,9,0.9,7,5,0.71428573,26,21,0.8076923,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,16,1.125,14,87.5,353.82,61,9,69,1.2028985,55,79.71,361.15,579,8,166,1.1807228,136,81.93,499.5,1230,29,251,1.1695404,205,81.67,404.82,1870,46,0,0,0,38368,40,37650,41,40070,130,50,40,Rookie Voyager,0,0,0,0,0,0.0,23,1,Champion,1955,Champion,,,1,6,Champion,Champion,,10,10-22-2024 18:53:28
V89,2018-12-03,True,Unlimited,True,True,pin/091f89f7fb79af0547468555381f1c4b.png,center-center,False,pin/f8393e5e2c7bdcd9e6675a58498808fe.png,0,/user/5c04ec3b43196563803ba61f,5c04ec3b43196563803ba61f,Kazakhstan,200,50,,,0,4069266,200,2782050,200,2782050,410,200,1,0,1,0,1616,2117,-19,50,1100,1500,True,2023-12-04T18:05:13.8450000Z,2023-12-04T18:05:13.8450000Z,False,False,,pin/f8393e5e2c7bdcd9e6675a58498808fe.png,False,,,2,False,False,2,2,1.0,691,501,0.7250362,229,147,0.6419214,922,650,0.70498914,3,2.6666667,0,0.0,634.74,32,36,2.9166667,14,38.89,230,60.87,0,0,1,0,0.0,0,0.0,0,0.0,0,0,0,1419,1.250881,1063,74.91,620.67,11779,1,682,1.2991202,478,70.09,265.43,6373,27,977,1.1535312,827,84.65,527.4,7560,122,3078,1.2345108,2368,76.93,471.17,25712,150,1,0,0,4069266,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,1,0,1,6,6,1.0,432,1,Champion,1953,Champion,1979,1950,1,1,Champion,Champion,,11,10-22-2024 18:53:28
[TNT] Kirania,2018-12-15,True,Pro,True,True,pin/0b61f84869fd83636288e0a9479b6534.png,center-center,False,pin/8bed40eaa71dfa41666048944c86f322.png,0,/user/5c14f357ff3dc98d883d182c,5c14f357ff3dc98d883d182c,Australia,200,50,,,0,5006931,200,2782050,200,2782050,410,200,5,8,7,0,1317,1818,-24,50,1100,1500,True,2022-08-12T03:36:10.2210000Z,2022-08-12T03:36:10.2210000Z,False,False,,pin/8bed40eaa71dfa41666048944c86f322.png,False,,,2,False,False,1,0,0.0,24,18,0.75,11,9,0.8181818,36,27,0.75,135,2.911111,58,42.96,920.06,1027,256,2.1640625,135,52.73,1864,76.07,4,3,4,27,2.2962964,11,0.4074074,375,0.68266666,3,5,1,2588,1.2894126,1839,71.06,541.4,20169,13,1116,1.3655914,708,63.44,336.83,11156,33,3207,1.2023698,2558,79.76,553.63,24952,340,6911,1.2857913,5105,73.87,477.29,56277,386,0,0,0,5006931,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,7,8,5,0,0,0.0,551,1,Champion,1950,Champion,1833,1976,1,12,Champion,Champion,1767,12,10-22-2024 18:53:28
Gorka1311,2018-01-04,True,Unlimited,True,False,pin/7c3b7909ffbea8f0ee6b912001fc24f8.png,center-center,False,pin/7ca8ad6a994f93853da35b6c1c91fe31.png,0,/user/5a4e3f8057f1750a400a8050,5a4e3f8057f1750a400a8050,Spain,160,50,,,0,1512590,160,1499030,161,1524950,370,170,0,0,0,0,1444,1945,15,50,1100,1500,True,2024-05-05T11:24:51.9550000Z,2024-05-05T11:24:51.9550000Z,False,False,,pin/7ca8ad6a994f93853da35b6c1c91fe31.png,False,2024-02-08T10:48:00.0000000Z,,0,False,False,5,2,0.4,122,87,0.71311474,71,42,0.5915493,198,131,0.66161615,4,6.5,1,25.0,555.15,18,252,3.5357144,109,43.25,175,80.57,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,798,1.2042607,635,79.57,341.84,6441,13,788,1.2411168,598,75.89,359.55,6966,49,536,1.2238806,416,77.61,669.25,3926,60,2122,1.223086,1649,77.71,456.88,17333,122,0,0,0,1512590,160,1499030,161,1524950,370,170,160,Ultimate Explorer,0,0,0,23,23,1.0,783,1,Champion,1945,Champion,1935,,1,5,Champion,Champion,,13,10-22-2024 18:53:28
abeme,2021-12-30,True,Unlimited,False,False,pin/f387cf4ae397b9fa2aa284ef8d7703f1.png,center-center,False,pin/1035f312c46948906736e48862ef11b5.png,0,/user/61cdfc02f6470200011a0caa,61cdfc02f6470200011a0caa,Russian Federation,144,50,,,0,1144084,144,1123060,145,1144490,350,150,0,0,0,0,1337,1838,11,50,1100,1500,True,2024-10-17T15:33:54.6950000Z,2024-10-17T15:33:54.6950000Z,False,False,2024-11-16T15:33:54.6950000Z,pin/1035f312c46948906736e48862ef11b5.png,False,,,0,False,False,20,10,0.5,926,631,0.6814255,329,225,0.6838906,1275,866,0.67921567,19,2.631579,9,47.37,322.36,273,929,3.0710442,206,22.17,6303,61.94,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,663,1.4826546,343,51.73,832.13,4841,34,4555,1.4346871,2575,56.53,493.2,42240,133,1865,1.5656836,810,43.43,1554.56,12750,105,7083,1.4943419,3728,52.63,959.97,59831,272,0,0,0,1144084,144,1123060,145,1144490,350,150,140,Supreme Explorer Pro,0,0,0,59,57,0.9661017,228,1,Champion,1935,Champion,1895,,1,9,Champion,Champion,,14,10-22-2024 18:53:28
Eamonn,2020-01-27,True,Pro,True,True,pin/9ac0182de1bab15c61c01bb9ceb91f2b.png,center-center,False,pin/54091d4c7c51c7e8aaa07698b59eb83c.png,0,/user/5e2e983722bbda85a40e9009,5e2e983722bbda85a40e9009,New Zealand,197,50,,,0,2674872,197,2667200,198,2705130,400,200,5,4,29,0,1327,1828,-18,50,1100,1500,True,2022-07-04T05:41:56.6730000Z,2022-07-04T05:41:56.6730000Z,False,False,,pin/54091d4c7c51c7e8aaa07698b59eb83c.png,False,,,2,False,False,66,36,0.54545456,215,150,0.6976744,117,69,0.5897436,398,255,0.6407035,199,3.7839196,54,27.14,885.76,527,1462,3.5793433,444,30.37,6791,74.61,25,4,3,15,2.0666666,8,0.53333336,323,0.6965944,1,0,2,1045,1.2239234,811,77.61,394.6,8039,12,361,1.301939,252,69.81,320.16,3468,16,77,1.3636364,49,63.64,693.72,631,7,1483,1.2964996,1112,74.98,469.49,12138,35,3,0,0,2674872,197,2667200,198,2705130,400,200,190,Ultimate Explorer Elite,29,4,5,1,1,1.0,748,1,Champion,1934,Champion,1885,,1,6,Champion,Champion,,15,10-22-2024 18:53:28
russia?!,2017-09-02,True,Pro,True,False,pin/8a0ccaa2d1993ade29efdfd5dd693674.png,center-center,False,pin/384c1ba2bf45a70e82d5ba2ff18105a8.png,0,/user/59aaed5143a14357704acb9a,59aaed5143a14357704acb9a,United States of America,63,50,,,0,121718,63,121630,64,126800,200,70,0,0,0,0,-70,431,-14,10,0,450,True,2024-10-07T14:21:22.5050000Z,2024-10-07T14:21:22.5050000Z,False,False,2024-11-06T14:21:22.5050000Z,pin/384c1ba2bf45a70e82d5ba2ff18105a8.png,False,,,0,False,False,19,17,0.8947368,13,11,0.84615386,4,3,0.75,36,31,0.8611111,24,4.25,4,16.67,2057.3,109,884,4.684389,101,11.43,2847,39.62,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,291,1.4707904,154,52.92,1058.96,1731,48,180,1.3666667,114,63.33,755.49,1252,23,10,1.2,8,80.0,308.57,91,0,481,1.345819,276,57.38,707.67,3074,71,0,0,0,121718,63,121630,64,126800,200,70,63,Pathfinder,0,0,0,0,0,0.0,132,3,Master II,1931,Master,1834,1924,4,1,Gold I,Gold,1606,16,10-22-2024 18:53:28
Finbarr,2018-12-02,True,Unlimited,True,True,pin/4f3fb7a8caeb7be5eb356d7a5093d1a1.png,center-center,False,pin/107d71f22b0694165913c3892420fb6f.png,0,/user/5c03eed1b5b94ba700403005,5c03eed1b5b94ba700403005,Ireland,194,50,,,0,2564398,194,2555540,195,2592410,400,200,0,0,0,0,1333,1834,16,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/107d71f22b0694165913c3892420fb6f.png,False,,,2,False,False,15,12,0.8,91,55,0.6043956,93,59,0.6344086,199,126,0.63316584,15,3.0,3,20.0,679.55,71,198,3.2020202,65,32.83,363,61.98,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,645,1.3038759,449,69.61,438.02,5747,9,540,1.324074,365,67.59,344.52,5087,31,9,1.3333334,6,66.67,567.75,72,0,1194,1.3204278,820,68.68,450.1,10906,40,0,0,0,2564398,194,2555540,195,2592410,400,200,190,Ultimate Explorer Elite,0,0,0,29,28,0.9655172,2870,1,Champion,1930,Champion,1891,,1,13,Champion,Champion,,17,10-22-2024 18:53:28
fontes,2020-01-29,True,Elite,True,True,pin/2e72ca64fd87089b339c8b8cbee580d8.png,center-center,False,pin/b4cb3f0fed52ea2a7d54b1e7ec58a4d6.png,0,/user/5e31a44c1e34a034bc09d438,5e31a44c1e34a034bc09d438,Portugal,197,50,,,0,2693918,197,2667200,198,2705130,400,200,0,0,0,0,1452,1953,13,50,1100,1500,True,2023-01-12T16:43:29.3260000Z,2023-01-12T16:43:29.3260000Z,False,False,,pin/b4cb3f0fed52ea2a7d54b1e7ec58a4d6.png,False,2024-02-02T09:00:20.6220000Z,,3,False,False,2,1,0.5,30,12,0.4,17,8,0.47058824,49,21,0.42857143,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,300,1.1866666,244,81.33,269.99,2606,7,318,1.235849,243,76.42,334.7,2945,16,119,1.3613446,76,63.87,861.68,915,8,737,1.2612867,563,76.39,488.79,6466,31,0,0,0,2693918,197,2667200,198,2705130,400,200,190,Ultimate Explorer Elite,0,0,0,21,18,0.85714287,100,1,Champion,1928,Champion,,,1,8,Champion,Champion,,18,10-22-2024 18:53:28
n1vl3m,2023-04-13,True,Unlimited,True,False,pin/15b92501ef9cbed9b6b942b2fd434c67.png,center-center,False,pin/ce40fb98f69bb03e5a845f94b931133d.png,0,/user/6437f59bc75e5c79df30befd,6437f59bc75e5c79df30befd,Sweden,101,50,,,0,436264,101,432140,102,443590,310,110,0,0,0,0,1420,1921,17,50,1100,1500,True,2023-04-13T16:44:14.7760000Z,2023-04-13T16:44:14.7760000Z,False,False,,pin/ce40fb98f69bb03e5a845f94b931133d.png,False,,,0,False,False,1,1,1.0,137,106,0.77372265,99,78,0.7878788,237,185,0.7805907,157,2.4585986,57,36.31,662.47,1393,111,2.5135136,49,44.14,803,71.11,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,625,1.3968,377,60.32,860.87,4658,22,83,1.2048193,66,79.52,225.34,734,7,201,1.1144278,178,88.56,435.75,1452,25,909,1.2386824,621,68.32,507.32,6844,54,0,0,0,436264,101,432140,102,443590,310,110,100,Master Explorer Pro,0,0,0,254,231,0.9094488,302,1,Champion,1927,Champion,,,1,3,Champion,Champion,,19,10-22-2024 18:53:28
Sadziu,2019-02-11,True,Pro,True,True,pin/b7b35005d9f2e33b19c4d8dc1ac0a4c6.png,center-center,False,pin/16c3bf7635b6f8c03a03d1428816d496.png,0,/user/5c61c05b3d925ba81408c135,5c61c05b3d925ba81408c135,Poland,167,50,,,0,1707682,167,1686710,168,1714730,370,170,2,6,37,0,1424,1925,-15,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/16c3bf7635b6f8c03a03d1428816d496.png,False,,,2,False,False,1,1,1.0,383,258,0.6736292,209,141,0.67464113,593,400,0.6745362,983,3.4628687,310,31.54,797.83,7707,1245,3.3301206,452,36.31,4680,77.88,18,3,2,66,2.1969697,33,0.5,1188,0.72390574,12,3,0,1554,1.2754183,1126,72.46,452.86,12924,20,668,1.3248503,451,67.51,387.5,6226,30,642,1.334891,427,66.51,623.02,5099,50,2864,1.3117199,2004,69.97,487.79,24249,100,7,0,0,1707682,167,1686710,168,1714730,370,170,160,Ultimate Explorer,37,6,2,14,14,1.0,508,1,Champion,1927,Champion,1866,,1,7,Champion,Champion,,20,10-22-2024 18:53:28
Topotic (YT),2015-12-21,True,Unlimited,True,True,pin/887fbcea50a568b0b404ddfa3d25ca29.png,center-center,False,pin/d3bb0a150822b09a63fb7416fb28b314.png,0,/user/567821da838cda2a54dc799b,567821da838cda2a54dc799b,Spain,157,50,,,0,1431811,157,1423030,158,1448070,360,160,0,1,13,0,1311,1812,16,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/d3bb0a150822b09a63fb7416fb28b314.png,False,,,6,True,False,0,0,0.0,21,16,0.7619048,7,4,0.5714286,28,20,0.71428573,328,1.8932927,201,61.28,366.57,2809,1567,2.8219528,952,60.75,2563,87.9,10,1,0,2,2.0,1,0.5,14,0.85714287,1,0,0,878,1.1047837,786,89.52,226.0,7167,58,248,1.2741935,180,72.58,352.26,2321,20,39,1.1538461,33,84.62,508.94,308,2,1165,1.1776077,999,85.75,362.4,9796,80,2,0,0,1431811,157,1423030,158,1448070,360,160,150,Supreme Explorer Elite,13,1,0,0,0,0.0,1203,1,Champion,1923,Champion,,1848,1,3,Champion,Champion,,21,10-22-2024 18:53:28
