nick,created,isProUser,type,consumedTrial,isVerified,pinUrl,pinAnchor,pinIsdefault,fullBodyPin,color,url,id,countryCode,brLevel,brDivision,streakProgress,explorerProgress,dailyChallengeProgress,progressXp,progressLevel,progressLevelxp,progressNextlevel,progressNextlevelxp,progressTitleId,progressTitleTierid,progressCompetitionmedalsBronze,progressCompetitionmedalsSilver,progressCompetitionmedalsGold,progressCompetitionmedalsPlatinum,competitiveElo_deprecated,competitiveRating_deprecated,competitiveLastratingchange_deprecated,competitiveDivisionType_deprecated,competitiveDivisionStartrating_deprecated,competitiveDivisionEndrating_deprecated,competitiveOnleaderboard_deprecated,lastNameChange,lastNickOrCountryChange,isBanned,chatBan,nameChangeAvailableAt,avatarFullbodypath,isBotUser,suspendedUntil,wallet,flair,isCreator,isAppAnonymous,rankedTeamDuelsStandardNumgamesplayed,rankedTeamDuelsStandardNumwins,rankedTeamDuelsStandardWinratio,rankedTeamDuelsNoMoveNumgamesplayed,rankedTeamDuelsNoMoveNumwins,rankedTeamDuelsNoMoveWinratio,rankedTeamDuelsNmpzNumgamesplayed,rankedTeamDuelsNmpzNumwins,rankedTeamDuelsNmpzWinratio,rankedTeamDuelsTotalNumgamesplayed,rankedTeamDuelsTotalNumwins,rankedTeamDuelsTotalWinratio,battleRoyaleDistanceNumgamesplayed,battleRoyaleDistanceAvgposition,battleRoyaleDistanceNumwins,battleRoyaleDistanceWinratio,battleRoyaleDistanceAvgguessdistance,battleRoyaleDistanceNumguesses,battleRoyaleCountryNumgamesplayed,battleRoyaleCountryAvgposition,battleRoyaleCountryNumwins,battleRoyaleCountryWinratio,battleRoyaleCountryNumguesses,battleRoyaleCountryAvgcorrectguesses,battleRoyaleMedalsMedalcountgold,battleRoyaleMedalsMedalcountsilver,battleRoyaleMedalsMedalcountbronze,competitiveCityStreaksNumgamesplayed,competitiveCityStreaksAvgposition,competitiveCityStreaksNumwins,competitiveCityStreaksWinratio,competitiveCityStreaksNumguesses,competitiveCityStreaksAvgcorrectguesses,competitiveStreaksMedalsMedalcountgold,competitiveStreaksMedalsMedalcountsilver,competitiveStreaksMedalsMedalcountbronze,duelsNumgamesplayed,duelsAvgposition,duelsNumwins,duelsWinratio,duelsAvgguessdistance,duelsNumguesses,duelsNumflawlesswins,duelsNoMoveNumgamesplayed,duelsNoMoveAvgposition,duelsNoMoveNumwins,duelsNoMoveWinratio,duelsNoMoveAvgguessdistance,duelsNoMoveNumguesses,duelsNoMoveNumflawlesswins,duelsNmpzNumgamesplayed,duelsNmpzAvgposition,duelsNmpzNumwins,duelsNmpzWinratio,duelsNmpzAvgguessdistance,duelsNmpzNumguesses,duelsNmpzNumflawlesswins,duelsTotalNumgamesplayed,duelsTotalAvgposition,duelsTotalNumwins,duelsTotalWinratio,duelsTotalAvgguessdistance,duelsTotalNumguesses,duelsTotalNumflawlesswins,duelsMedalsMedalcountgold,duelsMedalsMedalcountsilver,duelsMedalsMedalcountbronze,lifeTimeXpProgressionXp,lifeTimeXpProgressionCurrentlevelLevel,lifeTimeXpProgressionCurrentlevelXpstart,lifeTimeXpProgressionNextlevelLevel,lifeTimeXpProgressionNextlevelXpstart,lifeTimeXpProgressionCurrenttitleId,lifeTimeXpProgressionCurrenttitleTierid,lifeTimeXpProgressionCurrenttitleMinimumlevel,lifeTimeXpProgressionCurrenttitleName,totalMedalsMedalcountgold,totalMedalsMedalcountsilver,totalMedalsMedalcountbronze,teamDuelsNumgamesplayed,teamDuelsNumwins,teamDuelsWinratio,perfectRounds,divisionNumber,divisionName,rating,tier,gameModeRatingsNomoveduels,gameModeRatingsNmpzduels,divisionNumberBest,divisionPositionBest,divisionNameBest,divisionTierBest,gameModeRatingsStandardduels,positionDuelsLeaderboard,current_time
Radu C,2016-09-09,True,Pro,True,True,pin/55eacd62683a0ade2ab54f4f269b57fd.png,center-center,False,pin/95f6f99fba3e5ea937628fddd05c9576.png,0,/user/57d301d409f2efcce834fc94,57d301d409f2efcce834fc94,United States of America,132,50,,,0,899841,132,886280,133,904620,340,140,0,3,6,0,1602,2103,13,50,1100,1500,True,2024-01-05T16:24:45.4920000Z,2024-01-05T16:24:45.4920000Z,False,False,,pin/95f6f99fba3e5ea937628fddd05c9576.png,False,,,6,True,False,8,3,0.375,30,22,0.73333335,32,18,0.5625,70,43,0.6142857,44,2.159091,24,54.55,683.53,117,120,2.625,81,67.5,40,95.0,5,3,0,0,0.0,0,0.0,0,0.0,0,0,0,1058,1.1257089,925,87.43,183.4,9135,94,728,1.2225275,566,77.75,286.2,6513,76,177,1.2259887,137,77.4,437.72,1412,16,1963,1.1914085,1628,82.93,302.44,17060,186,1,0,0,899841,132,886280,133,904620,340,140,130,Supreme Explorer,6,3,0,17,16,0.9411765,1198,1,Champion,2149,Champion,2077,2057,1,1,Champion,Champion,,1,10-22-2024 22:52:45
mk,2018-11-20,True,Unlimited,False,True,pin/ab0c4dc9bbcd80695267a0c525ec3eff.png,center-center,False,pin/a57f8073e5c7a57d0af11087b34e5f0a.png,0,/user/5bf491faaac55b998458ed9a,5bf491faaac55b998458ed9a,United States of America,200,50,,,0,5170733,200,2782050,200,2782050,410,200,0,0,0,0,1251,1752,-22,50,1100,1500,True,2024-06-13T16:18:53.2890000Z,2024-06-13T16:18:53.2890000Z,False,False,,pin/a57f8073e5c7a57d0af11087b34e5f0a.png,False,,,2,False,False,16,7,0.4375,289,211,0.7301038,197,132,0.67005074,502,350,0.69721115,0,0.0,0,0.0,0.0,0,21,2.6666667,11,52.38,128,72.66,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,1259,1.3010325,880,69.9,384.96,10948,87,491,1.3441955,322,65.58,361.41,4819,24,145,1.4620689,78,53.79,862.96,1206,5,1895,1.369099,1280,67.55,536.44,16973,116,0,0,0,5170733,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,0,0,0,315,309,0.9809524,2552,1,Champion,2126,Champion,2018,1987,1,1,Champion,Champion,,2,10-22-2024 22:52:45
Geooo,2021-01-10,True,Elite,True,False,pin/3778b0770f9b337facbf54e79fdd6b96.png,center-center,False,pin/fad4954fad94dc84826b934c7654fdb2.png,0,/user/5ffb5e4975d2770001545cf5,5ffb5e4975d2770001545cf5,United Kingdom,200,50,,,0,3967213,200,2782050,200,2782050,410,200,7,14,62,0,1549,2050,8,50,1100,1500,True,2024-07-13T10:59:45.8780000Z,2024-07-13T10:59:45.8780000Z,False,False,,pin/fad4954fad94dc84826b934c7654fdb2.png,False,,,1,False,False,9,7,0.7777778,64,41,0.640625,34,25,0.7352941,107,73,0.682243,1685,4.2557864,357,21.19,714.93,10948,3778,3.8920064,1019,26.97,22628,71.13,49,12,7,53,1.8679246,28,0.5283019,810,0.745679,7,2,0,3147,1.2189387,2458,78.11,381.77,25853,99,2695,1.309833,1860,69.02,317.54,26181,117,2858,1.26662,2096,73.34,488.82,23867,209,8700,1.2651306,6414,73.72,396.04,75901,425,6,0,0,3967213,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,62,14,7,42,40,0.95238096,2348,1,Champion,2092,Champion,2045,2057,1,1,Champion,Champion,1813,3,10-22-2024 22:52:45
Blinky,2018-07-19,True,Unlimited,True,True,pin/700fe9f6857e5085cda458c41737bf51.png,center-center,False,pin/4f038a09f0fdf01ff5dad521b768e5b5.png,0,/user/5b51062a4010740f7cd91dd5,5b51062a4010740f7cd91dd5,France,200,50,,,0,3991130,200,2782050,200,2782050,410,200,2,2,18,0,1383,1884,15,50,1100,1500,True,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,False,False,,pin/4f038a09f0fdf01ff5dad521b768e5b5.png,False,,,6,True,False,63,56,0.8888889,60,43,0.71666664,53,39,0.7358491,176,138,0.78409094,204,3.1176472,91,44.61,279.45,486,518,2.7953668,242,46.72,1264,83.31,11,2,1,12,1.5833334,9,0.75,200,0.845,5,0,1,1252,1.0623003,1174,93.77,189.72,9854,25,168,1.2321428,129,76.79,279.72,1533,13,126,1.2460318,95,75.4,538.08,1030,14,1546,1.1801583,1398,90.43,335.84,12417,52,2,0,0,3991130,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,18,2,2,10,10,1.0,8522,1,Champion,2032,Champion,2004,,1,3,Champion,Champion,,4,10-22-2024 22:52:45
yak,2024-03-21,True,Unlimited,False,False,pin/9883ec3ba5f2af834c1b97e98db025e7.png,center-center,False,pin/98a07a38aed6fba3265d7aff079427ca.png,0,/user/65fc3453702bba73b4c0a398,65fc3453702bba73b4c0a398,Japan,80,50,,,0,237156,80,230200,81,238050,250,90,0,0,0,0,1199,1700,-18,50,1100,1500,True,2024-10-16T15:59:01.1580000Z,2024-10-16T15:59:01.1580000Z,False,False,2024-11-15T15:59:01.1580000Z,pin/98a07a38aed6fba3265d7aff079427ca.png,False,,,0,False,False,0,0,0.0,230,164,0.71304345,99,59,0.5959596,329,223,0.67781156,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,72,1.0694444,67,93.06,218.02,367,33,1399,1.4288777,799,57.11,401.63,13093,81,275,1.4545455,150,54.55,733.59,2292,17,1746,1.3176225,1016,58.19,451.08,15752,131,0,0,0,237156,80,230200,81,238050,250,90,80,Rookie Globetrotter,0,0,0,1,1,1.0,72,1,Champion,2031,Champion,1945,1903,1,4,Champion,Champion,,5,10-22-2024 22:52:45
Bad At Geo,2019-08-04,True,Pro,True,True,pin/9fd52b943073084a4dc6ca3c47d5048e.png,center-center,False,pin/5966282fdbb3febdcd984ad7d232cdca.png,0,/user/5d46b0bb3b4b6a4968620f7b,5d46b0bb3b4b6a4968620f7b,United Kingdom,200,50,,,0,4887796,200,2782050,200,2782050,410,200,6,9,35,0,1450,1951,-22,50,1100,1500,True,2024-02-28T09:35:58.4600000Z,2024-02-28T09:35:58.4600000Z,False,False,,pin/5966282fdbb3febdcd984ad7d232cdca.png,False,,,2,False,False,152,125,0.82236844,345,262,0.7594203,462,351,0.75974023,959,738,0.76955163,153,4.2287583,34,22.22,832.86,847,3222,3.5195532,1400,43.45,15099,74.28,19,7,3,43,1.6744186,26,0.60465115,636,0.6902516,5,2,3,3741,1.3231757,2532,67.68,514.6,20700,59,807,1.4163569,471,58.36,283.31,4330,70,1141,1.1752849,941,82.47,440.92,8497,190,5689,1.3049392,3944,69.33,412.94,33527,319,11,0,0,4887796,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,35,9,6,137,126,0.919708,2133,1,Champion,2028,Champion,,2012,1,2,Champion,Champion,,6,10-22-2024 22:52:45
PANZERFAUST,2023-11-05,True,Unlimited,False,False,pin/c82395afc2ba0c599628cb030ebf9a4a.png,center-center,False,pin/79160bc3b73c0c3d38f05a7966a2a379.png,0,/user/6547dabad446a83878a53a18,6547dabad446a83878a53a18,United Kingdom,200,50,,,0,2905827,200,2782050,200,2782050,410,200,0,0,0,0,593,1094,2,40,850,1100,True,2024-09-22T00:53:06.6980000Z,2024-09-22T00:53:06.6980000Z,False,False,2024-10-22T00:53:06.6980000Z,pin/79160bc3b73c0c3d38f05a7966a2a379.png,False,,,0,False,False,0,0,0.0,13,13,1.0,1,0,0.0,14,13,0.9285714,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,223,1.0448431,213,95.52,382.98,1080,106,88,1.0568181,83,94.32,244.6,604,24,2,1.5,1,50.0,936.88,16,0,313,1.2005538,297,94.89,521.49,1700,130,0,0,0,2905827,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,0,0,0,0,0,0.0,542,2,Master I,2012,Master,1973,,3,1,Master II,Master,1550,7,10-22-2024 22:52:45
leero,2022-10-03,True,Pro,True,True,pin/78d0410f1a93c188ae414f53412a16a8.png,center-center,False,pin/281291a0d041822dba7b7322edae6204.png,0,/user/633a62ba560e8238dea97807,633a62ba560e8238dea97807,Australia,200,50,,,0,3624141,200,2782050,200,2782050,410,200,0,0,0,0,1506,2007,13,50,1100,1500,True,2022-11-09T23:43:40.1680000Z,2022-11-09T23:43:40.1680000Z,False,False,,pin/281291a0d041822dba7b7322edae6204.png,False,,,2,False,False,6,5,0.8333333,60,49,0.81666666,41,33,0.80487806,107,87,0.8130841,3,6.0,0,0.0,774.63,7,5,3.4,1,20.0,16,87.5,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,296,1.2567568,220,74.32,336.31,2510,1,199,1.241206,151,75.88,251.45,1962,10,98,1.1326531,85,86.73,565.36,720,14,593,1.2102053,456,76.9,384.37,5192,25,0,0,0,3624141,200,2782050,200,2782050,410,200,200,Ultimate Master Explorer,0,0,0,0,0,0.0,64,1,Champion,1975,Champion,,,1,3,Champion,Champion,,8,10-22-2024 22:52:45
yeeboiiiiiiiiiiiiii,2017-08-11,True,Pro,True,False,pin/c4b3dac2a4ad957e08e056d60e9800c9.png,center-center,False,pin/ab174ced8236a14367b2fb9db647ff68.png,0,/user/598e0f3d43a1435770463715,598e0f3d43a1435770463715,Norway,150,50,,,0,1265935,150,1255700,151,1278760,360,160,0,1,0,0,1290,1791,-13,50,1100,1500,True,2024-02-13T20:35:31.4310000Z,2024-02-13T20:35:31.4310000Z,False,False,,pin/ab174ced8236a14367b2fb9db647ff68.png,False,,,0,False,False,12,8,0.6666667,68,45,0.6617647,39,29,0.74358976,119,82,0.68907565,58,4.5172415,16,27.59,1047.57,113,284,5.3415494,32,11.27,37,54.05,0,0,0,2,3.5,0,0.0,61,0.5081967,0,1,0,311,1.3215435,211,67.85,611.43,2422,0,323,1.3405572,213,65.94,367.19,2989,10,207,1.4396136,116,56.04,690.98,1798,6,841,1.367238,540,64.21,556.53,7209,16,0,0,0,1265935,150,1255700,151,1278760,360,160,150,Supreme Explorer Elite,0,1,0,19,16,0.84210527,206,1,Champion,1969,Champion,1913,1929,1,8,Champion,Champion,,9,10-22-2024 22:52:45
ved,2023-06-08,True,Unlimited,False,False,pin/742ecf7479125be33e50aadca4d13850.png,center-center,False,pin/6a39e4c487cf2b90e9d77fdcdc6a9391.png,0,/user/6481f8ff0e7bd0442dec3fcf,6481f8ff0e7bd0442dec3fcf,Antigua and Barbuda,40,50,,,0,38442,40,37650,41,40070,130,50,0,0,0,0,1427,1928,12,50,1100,1500,True,2024-03-09T19:59:52.3890000Z,2024-03-09T19:59:52.3890000Z,False,False,,pin/6a39e4c487cf2b90e9d77fdcdc6a9391.png,False,,,0,False,False,9,7,0.7777778,10,9,0.9,7,5,0.71428573,26,21,0.8076923,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,16,1.125,14,87.5,353.82,61,9,69,1.2028985,55,79.71,361.15,579,8,167,1.1796408,137,82.04,498.29,1239,29,252,1.1691798,206,81.75,404.42,1879,46,0,0,0,38442,40,37650,41,40070,130,50,40,Rookie Voyager,0,0,0,0,0,0.0,23,1,Champion,1964,Champion,,1976,1,6,Champion,Champion,,10,10-22-2024 22:52:45
